Nom PME,Budget Initial,Montant Crédit,Budget Total,Taux Intérêt Classique,Période Grâce PRASOC
PME_1,10744,15000,25744,14,4
PME_2,35611,19000,54611,11,3
PME_3,28417,17000,45417,11,4
PME_4,24544,13000,37544,15,4
PME_5,17901,18000,35901,14,3
PME_6,14798,16000,30798,15,4
PME_7,30581,19000,49581,15,5
PME_8,10310,9000,19310,14,4
PME_9,26514,7000,33514,10,4
PME_10,12418,10000,22418,14,4
PME_11,29840,20000,49840,12,3
PME_12,19713,11000,30713,10,4
PME_13,13539,6000,19539,12,4
PME_14,12408,6000,18408,13,5
PME_15,20482,8000,28482,12,4
PME_16,23725,12000,35725,11,5
PME_17,36923,15000,51923,14,4
PME_18,13407,19000,32407,11,3
PME_19,18942,6000,24942,15,3
PME_20,12293,14000,26293,14,5
