Company,Initial Budget,Loan Amount,Total Budget,Classic Interest,PRASOC Grace
PME_1,26378,112000,138378,15,4
PME_2,33366,123000,156366,10,4
PME_3,17736,195000,212736,12,4
PME_4,13347,178000,191347,14,4
PME_5,24188,166000,190188,11,3
PME_6,21044,81000,102044,11,3
PME_7,23485,62000,85485,15,3
PME_8,34328,110000,144328,15,3
PME_9,18023,78000,96023,10,4
PME_10,32918,92000,124918,10,4
PME_11,37496,189000,226496,11,4
PME_12,38031,113000,151031,11,4
PME_13,16782,163000,179782,14,4
PME_14,29681,105000,134681,12,4
PME_15,38003,111000,149003,11,4
PME_16,18205,141000,159205,15,4
PME_17,16354,55000,71354,15,4
PME_18,24494,72000,96494,13,3
PME_19,10984,162000,172984,13,4
PME_20,31514,133000,164514,15,4
