Year,Classic Principal,Classic Interest,Classic Total,Classic Remaining,PRASOC Principal,PRASOC Interest,PRASOC Total,PRASOC Remaining,Budget Initial
1,1000.0,1400.0,2400.0,9000.0,0.0,800.0,800.0,10000.0,22418
2,1000.0,1260.0,2260.0,8000.0,0.0,800.0,800.0,10000.0,22418
3,1000.0,1120.0,2120.0,7000.0,0.0,800.0,800.0,10000.0,22418
4,1000.0,980.0,1980.0,6000.0,0.0,800.0,800.0,10000.0,22418
5,1000.0,840.0,1840.0,5000.0,1666.67,800.0,2466.67,8333.33,22418
6,1000.0,700.0,1700.0,4000.0,1666.67,666.67,2333.33,6666.67,22418
7,1000.0,560.0,1560.0,3000.0,1666.67,533.33,2200.0,5000.0,22418
8,1000.0,420.0,1420.0,2000.0,1666.67,400.0,2066.67,3333.33,22418
9,1000.0,280.0,1280.0,1000.0,1666.67,266.67,1933.33,1666.67,22418
10,1000.0,140.0,1140.0,0.0,1666.67,133.33,1800.0,0.0,22418
