Year,Classic Principal,Classic Interest,Classic Total,Classic Remaining,PRASOC Principal,PRASOC Interest,PRASOC Total,PRASOC Remaining,Budget
1,5500.0,8250.0,13750.0,49500.0,0.0,4400.0,4400.0,55000.0,71354
2,5500.0,7425.0,12925.0,44000.0,0.0,4400.0,4400.0,55000.0,71354
3,5500.0,6600.0,12100.0,38500.0,0.0,4400.0,4400.0,55000.0,71354
4,5500.0,5775.0,11275.0,33000.0,0.0,4400.0,4400.0,55000.0,71354
5,5500.0,4950.0,10450.0,27500.0,9166.67,4400.0,13566.67,45833.33,71354
6,5500.0,4125.0,9625.0,22000.0,9166.67,3666.67,12833.33,36666.67,71354
7,5500.0,3300.0,8800.0,16500.0,9166.67,2933.33,12100.0,27500.0,71354
8,5500.0,2475.0,7975.0,11000.0,9166.67,2200.0,11366.67,18333.33,71354
9,5500.0,1650.0,7150.0,5500.0,9166.67,1466.67,10633.33,9166.67,71354
10,5500.0,825.0,6325.0,0.0,9166.67,733.33,9900.0,0.0,71354
